id,name,birthdate,deathdate
1976,Déborah Révy,,
1977,Deborah Twiss,2026-12-22,
1978,Deborra-Lee Furness,2026-12-08,
1979,Debra Granik,2026-02-06,
1980,Debra Lynn Hull,,
1981,Debra Messing,2026-08-15,
1982,Debra Monk,2026-02-27,
1983,Debra Paget,2026-08-19,
1984,Debra Winger,2026-05-16,
1985,Debrah Farentino,2026-09-30,
1986,Debrianna Mansini,,
1987,Dee Bradley Baker,2026-08-31,
1988,Dee Wallace,2026-12-14,
1989,Deems Taylor,1885-12-22,2026-07-03
1990,Deepa Mehta,2026-01-01,
1991,DeForest Kelley,2026-01-20,2026-06-11
1992,Deirdre Lorenz,,
1993,Del Zamora,,
1994,Dell Yount,,
1995,Della Reese,2026-07-06,
1996,Delphine Chanéac,2026-11-14,
1997,Delroy Lindo,2026-11-18,
1998,Demetri Martin,2026-05-25,
1999,Demetrius Grosse,2026-02-26,
2000,Demi Moore,2026-11-11,
2001,Demián Bichir,2026-08-01,
2002,Demian Lichtenstein,,
2003,Dena Seidel,,
2004,Denden,2026-01-23,
2005,Dendrie Taylor,,
2006,Deneen Tyler,,
2007,Denholm Elliott,2026-05-31,2026-10-06
2008,Denis Lavant,2026-06-17,
2009,Denis Leary,2026-08-18,
2010,Denis O'Hare,2026-01-17,
2011,Denis Villeneuve,2026-10-03,
2012,Denise Boutte,2026-01-19,
2013,Denise Crosby,2026-11-24,
2014,Dennie Gordon,2026-05-09,
2015,Dennis Burkley,2026-09-10,2026-07-14
2016,Dennis Dugan,2026-09-05,
2017,Dennis Franz,2026-10-28,
2018,Dennis Gansel,2026-10-04,
2019,Dennis Hopper,2026-05-17,2026-05-29
2020,Dennis Iliadis,,
2021,Dennis L.A. White,,
2022,Dennis Quaid,2026-04-09,
2023,Denny Kirkwood,2026-03-20,
2024,Denys Arcand,2026-06-25,
2025,Denzel Washington,2026-12-28,
2026,Deon Richmond,2026-04-02,
2027,Deon Taylor,,
2028,Dequina Moore,,
2029,DeRay Davis,,
2030,Derek Brandon,,
2031,Derek Cianfrance,2026-01-23,
2032,Derek Graf,,
2033,Derek Jacobi,2026-10-22,
2034,Derek Jeter,2026-05-27,2026-09-14
2035,Derek Luke,2026-04-24,
2036,Derek Magyar,,
2037,Derek Mears,2026-04-29,
2038,Derek Wayne Johnson,2026-02-23,
2039,Derick Martini,2026-12-02,
2040,Dermot Crowley,2026-03-19,
2041,Derrick Borte,2026-12-07,
2042,Deryck Broom,,
2043,Des McAnuff,2026-06-19,
2044,Desmond Askew,2026-12-17,
2045,Desmond Llewelyn,2026-09-12,2026-12-19
2046,DeVaughn Nixon,,
2047,Devid Striesow,2026-10-01,
2048,Devin Ratray,2026-01-11,
2049,Devon Murray,2026-10-28,
2050,DeWayne Warren,,
2051,Dewey Nicks,2026-04-22,
2052,Dexter Fletcher,2026-01-31,
2053,Diahann Carroll,2026-07-17,
2054,Dian Bachar,2026-10-26,
2055,Diana Maria Riva,2026-07-22,
2056,Diana Ross,2026-03-26,
2057,Diana Scarwid,2026-08-27,
2058,Diana Vickers,2026-07-30,
2059,Diane Baker,2026-02-25,
2060,Diane English,,
2061,Diane Keaton,2026-01-05,
2062,Diane Ladd,2026-11-29,
2063,Diane Sorrentino,,
2064,Diane Venora,2026-08-10,
2065,Dianne Wiest,2026-03-28,
2066,Dichen Lachman,2026-02-22,
2067,Dick Cavett,2026-11-19,
2068,Dick Cheney,2026-05-06,2026-01-02
2069,Dick Clark,2026-11-30,2026-04-18
2070,Dick Powell,2026-11-14,2026-01-02
2071,Dick Richards,2026-08-10,2026-03-17
2072,Dick Van Patten,2026-12-09,2026-06-23
2073,Dickie Jones,2026-02-25,2026-07-07
2074,Diedrich Bader,2026-12-24,
2075,Diego Ramos,2026-11-29,
2076,Diego Velazquez,,
2077,Diganth,,
2078,Dileep Raj,,
2079,Diljit Dosanjh,,
2080,Dillon Casey,2026-10-29,
2081,Dilshad Vadsaria,2026-09-14,
2082,Dimple Kapadia,2026-06-08,
2083,Dinah Manoff,2026-01-25,
2084,Dinesh D'Souza,2026-04-25,
2085,Diora Baird,2026-04-06,
2086,Dirk Bogarde,2026-03-28,2026-05-08
2087,Dito Montiel,2026-07-26,
2088,Divine,2026-10-19,2026-03-07
2089,DJ Pooh,,
2090,Djimon Hounsou,2026-04-24,
2091,DMX,,
2092,Dolly Parton,2026-01-19,
2093,Dom DeLuise,2026-08-01,2026-05-04
2094,Domenick Lombardozzi,2026-03-25,
2095,Dominic Burns,,
2096,Dominic Colón,,
2097,Dominic Cooper,2026-06-02,
2098,Dominic Flores,,
2099,Dominic Monaghan,2026-12-08,
2100,Dominic Sena,2026-04-26,
2101,Dominick Brascia,,
2102,Dominik Castell,2026-07-20,
2103,Dominik García-Lorido,2026-08-16,
2104,Dominique McElligott,2026-05-03,
2105,Dominique Othenin-Girard,2026-02-13,
2106,Dominique Sanda,2026-03-11,
2107,Don Ameche,2026-05-31,2026-12-06
2108,Don Bluth,2026-09-13,
2109,Don Brooks,,2026-10-25
2110,Don Cheadle,2026-11-29,
2111,Don Coscarelli,2026-02-17,
2112,Don Francks,2026-02-28,2026-04-03
2113,Don Gordon,2026-09-29,2026-02-28
2114,Don Hall,,
2115,Don Johnson,2026-12-15,
2116,Don Kempf,,
2117,Don Mancini,2026-01-25,
2118,Don McKellar,2026-08-17,
2119,Don McManus,2026-11-08,
2120,Don Michael Paul,2026-04-17,
2121,Don Pardo,2026-12-17,
2122,Don Rickles,2026-05-08,
2123,Don Scardino,2026-02-17,
2124,Don Siegel,2026-10-26,2026-04-20
2125,Don Stark,2026-07-05,
2126,Don Taylor,2026-12-13,2026-12-29
2127,Don Wallace,,
2128,Donald Austin,,
2129,Donald Faison,2026-06-22,
2130,Donald Gibb,2026-08-04,
2131,Donald Glover,2026-09-25,
2132,Donald Petrie,2026-04-02,
2133,Donald Pleasence,2026-10-05,2026-02-02
2134,Donald Rumsfeld,2026-07-09,
2135,Donald Sumpter,2026-02-13,
2136,Donald Trump,2026-06-14,
2137,Donald Watkins,,
2138,Donatas Banionis,2026-04-28,2026-09-04
2139,Dong-gun Jang,2026-03-07,
2140,Donna Murphy,2026-03-07,
2141,Donna Reed,2026-01-27,2026-01-14
2142,Donna Zovko,,
2143,Donnie Dunagan,2026-08-16,
2144,Donny Alamsyah,2026-12-07,
2145,Donny Boaz,,
2146,Donovan Scott,,
2147,Doona Bae,2026-10-11,
2148,Dorian Missick,2026-01-15,
2149,Dororthy Thorton,,
2150,Dorothy Lamour,2026-12-10,2026-09-22
2151,Dorothy Lyman,2026-04-18,
2152,Dottie Alexander,,
2153,Doug Atchison,,
2154,Doug Block,,
2155,Doug Bradley,2026-09-07,
2156,Doug Cockle,2026-09-16,
2157,Doug E. Doug,2026-04-06,
2158,Doug Lefler,,
2159,Doug Liman,2026-07-24,
2160,Douglas Aarniokoski,,
2161,Douglas Cheek,,
2162,Douglas Haase,,
2163,Douglas McGrath,2026-02-02,
2164,Douglas Smith,2026-08-04,
2165,Douglas Trumbull,2026-04-08,
2166,Dougray Scott,2026-11-25,
2167,Dov Tiefenbach,2026-12-08,
2168,Dove Cameron,2026-01-15,
2169,Dr. Dre,2026-02-18,
2170,Drake,2026-10-24,
2171,Drake Bell,2026-06-27,
2172,Drake Doremus,2026-03-29,
2173,Drea de Matteo,2026-01-19,
2174,Dreama Walker,2026-06-20,
2175,Dree Hemingway,2026-12-04,
2176,Drew Barrymore,2026-02-22,
2177,Drew Carey,2026-05-23,
2178,Drew Fuller,2026-05-19,
2179,Drew Goddard,2026-02-26,
2180,Drew Powell,2026-01-19,
2181,Drew Sidora,2026-05-01,
2182,Drew Waters,2026-08-20,
2183,Dror Moreh,,
2184,Duane Jones,2026-02-02,2026-07-22
2185,Duane Journey,,
2186,Duke Johnson,2026-03-20,
2187,Dulé Hill,,
2188,Duncan Jones,2026-05-30,
2189,Duncan Tucker,,
2190,Dustin Diamond,2026-01-07,
2191,Dustin Fitzsimons,2026-12-19,
2192,Dustin Hoffman,2026-08-08,
2193,Dustin Ingram,2026-01-25,
2194,Dustin Lance Black,2026-06-10,
2195,Dustin Milligan,2026-07-28,
2196,Dustin Nguyen,2026-09-17,
2197,Dwayne Johnson,2026-05-02,
2198,Dwight H. Little,2026-01-13,
2199,Dwight Henry,,
2200,Dwight Yoakam,2026-10-23,
2201,Dyan Cannon,2026-01-04,
2202,Dylan Authors,,
2203,Dylan Baker,2026-10-07,
2204,Dylan Bank,,
2205,Dylan Kussman,,
2206,Dylan Minnette,2026-12-29,
2207,Dylan Moran,2026-11-03,
2208,Dylan Schombing,,
2209,Dylan Walsh,2026-11-17,
2210,E. Elias Merhige,,
2211,E.L. Katz,2026-01-07,
2212,Eamonn Walker,2026-06-12,
2213,Earl Cameron,2026-08-08,
2214,Eartha Kitt,2026-01-17,2026-12-25
2215,Ebon Moss-Bachrach,2026-08-17,
2216,Ed Begley Jr.,2026-09-16,
2217,Ed Decter,,
2218,Ed Gass-Donnelly,2026-08-17,
2219,Ed Harris,2026-11-28,
2220,Ed Lauter,2026-10-30,2026-10-16
2221,Ed Quinn,2026-02-26,
2222,Ed Skrein,2026-03-29,
2223,Ed Speleers,2026-04-07,
2224,Ed Stoppard,2026-09-16,
2225,Ed Wynn,1886-11-09,2026-06-19
2226,Eddie 'Piolin' Sotelo,,
2227,Eddie Albert,2026-04-22,2026-05-26
2228,Eddie Baroo,2026-09-25,
2229,Eddie Cahill,2026-01-15,
2230,Eddie Cibrian,2026-06-16,
2231,Eddie Deezen,2026-03-06,
2232,Eddie Griffin,2026-07-15,
2233,Eddie Izzard,2026-02-07,
2234,Eddie Jemison,,
2235,Eddie Jones,,
2236,Eddie Kaye Thomas,2026-10-31,
2237,Eddie Marsan,2026-06-09,
2238,Eddie O'Flaherty,2026-03-15,
2239,Eddie Peng,2026-03-24,
2240,Eddie Redmayne,2026-01-06,
2241,Eddie Rouse,2026-07-02,2026-12-07
2242,Eddie Spears,2026-11-29,
2243,Eddie Vedder,2026-12-23,
2244,Eden Riegel,2026-01-01,
2245,Edgar Arreola,,
2246,Edgar Buchanan,2026-03-20,2026-04-04
2247,Edgar Ramírez,2026-03-25,
2248,Edgar Tancangco,,
2249,Edgar Wright,2026-04-18,
2250,Edi Gathegi,2026-03-10,
2251,Edie Falco,2026-07-05,
2252,Edith Massey,2026-05-28,2026-10-24
2253,Edmund McMillen,,
2254,Edouard Baer,2026-12-01,
2255,Eduard Fernández,2026-08-25,
2256,Eduardo Noriega,2026-08-01,
2257,Eduardo Verástegui,2026-05-21,
2258,Edward Andrews,,
2259,Edward Burns,,
2260,Edward Conna,2026-06-19,
2261,Edward Dmytryk,2026-09-04,2026-07-01
2262,Edward Everett Horton,1886-03-18,2026-09-29
2263,Edward Fox,2026-04-13,
2264,Edward Hall,,
2265,Edward Norton,2026-08-18,
2266,Edward Zwick,2026-10-08,
2267,Edwin Hodge,2026-01-26,
2268,Edwin Neal,2026-07-12,
2269,Efram Potelle,,
2270,Eileen Brennan,2026-09-03,2026-07-28
2271,Eion Bailey,2026-06-08,
2272,Ejner Federspiel,1896-08-12,2026-11-24
2273,Ekachai Uekrongtham,,
2274,Elaine Bromka,2026-01-06,
2275,Elaine Cassidy,2026-12-31,
2276,Elaine Hendrix,2026-12-28,
2277,Elaine May,2026-04-21,
2278,Elaine Stritch,2026-02-02,2026-07-17
2279,Eldar Rapaport,,
2280,Elden Henson,2026-08-30,
2281,Elea Oberon,,
2282,Eleanor Bron,2026-03-14,
2283,Eleanor Parker,2026-06-26,2026-12-09
2284,Elena Anaya,2026-07-17,
2285,Elena Lyadova,2026-12-25,
2286,Elena Satine,2026-11-24,
2287,Eli Craig,2026-05-25,
2288,Eli Marienthal,2026-03-06,
2289,Eli Roth,2026-04-18,
2290,Elia Kazan,2026-09-07,2026-09-28
2291,Elijah Kelley,2026-08-01,
2292,Elina Abai Kyzy,,
2293,Elina Alminas,,
2294,Elio Germano,2026-09-25,
2295,Elisa Donovan,2026-02-03,
2296,Elisabeth Harnois,2026-05-26,
2297,Elise Muller,2026-08-15,
2298,Elise Neal,2026-03-14,
2299,Elissa Dowling,,
2300,Eliza Coupe,2026-04-06,
2301,Elizabeth Allen Rosenbaum,,
2302,Elizabeth Banks,2026-02-10,
2303,Elizabeth Berkley,2026-07-28,
2304,Elizabeth Berrington,2026-08-03,
2305,Elizabeth Blackmore,,
2306,Elizabeth Daily,2026-09-11,
2307,Elizabeth Debicki,,
2308,Elizabeth MacRae,2026-02-22,
2309,Elizabeth McGovern,2026-07-18,
2310,Elizabeth Meriwether,,
2311,Elizabeth Perkins,2026-11-18,
2312,Elizabeth Stenholt,,
2313,Elizabeth Streb,,
2314,Ella Joyce,2026-06-12,
2315,Ella Wahlestedt,2026-08-01,
2316,Ellar Coltrane,2026-08-27,
2317,Ellen Albertini Dow,2026-11-16,2026-05-04
2318,Ellen Barkin,2026-04-16,
2319,Ellen Block,,
2320,Ellen Burstyn,2026-12-07,
2321,Ellen Ross,2026-10-25,
2322,Ellen Sandweiss,2026-12-30,
2323,Ellen Wong,,
2324,Ellia Thompson,,
2325,Ellie Cornell,2026-12-15,
2326,Ellie Kendrick,2026-06-06,
2327,Elliott Gould,2026-08-29,
2328,Ellory Elkayem,2026-08-12,
2329,Elodie Yung,2026-02-22,
2330,Elpidia Carrillo,2026-08-16,
2331,Elsa Lanchester,2026-10-28,2026-12-26
2332,Elton John,2026-03-25,
2333,Elvis Nolasco,,
2334,Elvis Tsui,2026-10-10,
2335,Elyas M'Barek,2026-05-29,
2336,Embeth Davidtz,2026-08-11,
2337,Eme Ikwuakor,,
2338,Emile Ardolino,2026-05-09,2026-11-20
2339,?mile Gaudreault,,
2340,Emilia Clarke,2026-10-23,
2341,Emilia Fox,2026-07-31,
2342,?milie Dequenne,2026-08-29,
2343,Emilio Estefan Jr.,2026-03-04,
2344,Emilio Estevez,2026-05-12,
2345,Emily Alyn Lind,,
2346,Emily Baldoni,2026-08-03,
2347,Emily Dell,,
2348,Emily Gorell,,
2349,Emily Meade,2026-01-10,
2350,Emily Nelson,,
2351,Emily Osment,2026-03-10,
2352,Emily Pearson,,
2353,Emily Podleski,2026-05-15,
2354,Emily Ratajkowski,2026-06-07,
2355,Emily Rios,2026-04-27,
2356,Emily Watson,2026-01-14,
2357,Emily Wickersham,2026-04-26,
2358,Emily Young,,
2359,Emir Kusturica,2026-11-24,
2360,Emma Bell,2026-12-17,
2361,Emma Caulfield,2026-04-08,
2362,Emma de Caunes,2026-09-09,
2363,Emma Eliza Regan,,
2364,Emma Kenney,2026-09-14,
2365,Emma Lung,,
2366,Emma Stone,2026-11-06,
2367,Emma Watson,2026-04-15,
2368,Emma-Kate Croghan,,
2369,Emmanuel Kabongo,2026-12-25,
2370,Emmanuelle Béart,2026-08-14,
2371,Emmanuelle Bercot,2026-11-06,
2372,Emmanuelle Riva,2026-02-24,2026-01-27
2373,Emmanuelle Seigner,2026-06-22,
2374,Emmanuelle Vaugier,2026-06-23,
2375,Emraan Hashmi,2026-03-24,
2376,Enrico Colantoni,2026-02-14,
2377,Enrique Begne,,
2378,Enrique Iglesias,2026-05-08,
2379,Enrique Murciano,2026-07-09,
2380,Enrique Villén,,
2381,Enzo Petito,1897-07-24,2026-07-17
2382,Eoin Macken,2026-04-15,
2383,Eric Ambriz,,
2384,Eric Blakeney,2026-09-14,
2385,Eric Blore,1887-12-23,2026-03-02
2386,Eric Bress,2026-03-25,
2387,Eric Brevig,,
2388,Eric Bross,2026-01-21,
2389,Eric Bugbee,,
2390,Eric Cantona,2026-05-24,
2391,Eric Christmas,2026-03-19,2026-07-22
2392,Eric Dane,2026-11-09,
2393,Eric Darnell,,
2394,Eric Eason,,
2395,Eric Elmosnino,2026-05-02,
2396,Eric England,2026-02-23,
2397,Eric Godon,2026-02-07,
2398,Eric Idle,2026-03-29,
2399,Eric Jacobson,2026-07-25,
2400,Eric Johnson,2026-04-28,
2401,Eric Lange,2026-02-19,
2402,Eric Lartigau,,
2403,Eric Lavaine,,
2404,Eric Leighton,2026-11-06,
2405,Eric Lloyd,2026-05-19,
2406,Eric Mabius,2026-04-22,
2407,Eric McCormack,2026-04-18,
2408,Eric Mendelsohn,2026-11-01,
2409,Eric Mendenhall,,
2410,Eric Nicholas,,
2411,Eric Peterson,2026-10-02,
2412,Eric Schaeffer,2026-01-22,
2413,Eric Schlosser,2026-08-17,
2414,Eric Schweig,2026-06-19,
2415,Eric Sheffer Stevens,2026-06-19,
2416,Eric Stoltz,2026-09-30,
2417,Eric Stonestreet,2026-09-09,
2418,Eric Stuart,2026-10-18,
2419,Eric Styles,,
2420,Eric Sykes,2026-05-04,2026-07-04
2421,?ric Tessier,1883-05-28,2026-06-01
2422,Eric Valette,,
2423,Eric Winter,2026-07-17,
2424,Eric Worre,,
2425,Erica Leerhsen,2026-02-14,
2426,Erica Linz,,
2427,Erick Avari,2026-04-13,
2428,Erick Elias,2026-06-23,
2429,Ericson Core,,
2430,Erik Canuel,,
2431,Erik Estrada,2026-03-16,
2432,Erik Knudsen,2026-03-25,
2433,Erik Palladino,2026-05-10,
2434,Erik Per Sullivan,2026-07-12,
2435,Erik White,,
2436,Erika Christensen,2026-08-19,
2437,Erin Bethea,2026-08-12,
2438,Erin Boyes,,
2439,Erin Cipolletti,,
2440,Erin Daniels,2026-10-09,
2441,Erin Fitzgerald,2026-09-21,
2442,Erin Gray,2026-01-07,
2443,Erin O'Brien,2026-01-31,
2444,Erin Pitt,,
2445,Erin Wasson,2026-01-20,
2446,Erland Josephson,2026-06-15,2026-02-25
2447,Ernest R. Dickerson,2026-06-25,
2448,Ernie Barbarash,,
2449,Ernie Reyes Jr.,2026-01-15,
2450,Eros Vlahos,2026-01-13,
2451,Errol Flynn,2026-06-20,2026-10-14
2452,Errol Morris,2026-02-05,
2453,Esai Morales,2026-10-01,
2454,Essence Atkins,2026-02-07,
2455,Essie Davis,,
2456,Estella Warren,2026-12-23,
2457,Estelle Parsons,2026-11-20,
2458,Esther Williams,2026-08-08,2026-06-06
2459,Etan Cohen,,
2460,Ethan Coen,2026-09-21,
2461,Ethan Embry,2026-06-13,
2462,Ethan Maniquis,,
2463,Ethan Peck,2026-03-02,
2464,Ethan Stiefel,,
2465,Ethan Suplee,2026-05-25,
2466,?tienne Faure,,
2467,Eugène Lourié,2026-04-08,2026-05-26
2468,Eugene Roche,2026-09-22,2026-07-28
2469,Eugenia Khirivskaya,2026-09-03,
2470,Eugenie Bondurant,2026-04-27,
2471,Eugenio Derbez,2026-09-02,
2472,Eva Amurri Martino,2026-03-15,
2473,Eva Birthistle,,
2474,Eva Boehnke,,
2475,Eva Bourne,,
2476,Eva Carrozza,,
2477,Eva Green,2026-07-06,
2478,Eva LaRue,2026-12-27,
2479,Eva Marcille,2026-10-30,
2480,Eva Marie Saint,2026-07-04,
2481,Evan Goldberg,,
2482,Evan Jones,,
2483,Evan McGuire,,
2484,Evan Parke,2026-01-02,
2485,Evan Ross,2026-08-26,
2486,Eve,2026-11-10,
2487,Eve Ensler,2026-05-25,
2488,Eve Plumb,2026-04-29,
2489,Evelyn Jefferson,,
2490,Everett McGill,2026-10-21,
2491,Everett Sloane,2026-10-01,2026-08-06
2492,Evgeniy Mironov,2026-11-29,
2493,Ewen Bremner,2026-01-23,
2494,Ewen Solon,2026-09-07,2026-07-07
2495,Exie Booker,,
2496,Eytan Fox,2026-08-21,
2497,Ezra Miller,2026-09-30,
2498,F. Gary Gray,2026-07-17,
2499,F. Murray Abraham,2026-10-24,
2500,Fabián Bielinsky,2026-02-03,2026-06-28
2501,Fabian Bolin,,
2502,Fabio Testi,2026-08-02,
2503,Fabrice Luchini,2026-11-01,
2504,Facundo Lombard,,
2505,Fadia Nadda,,
2506,Faizon Love,2026-06-14,
2507,Fana Mokoena,2026-05-13,
2508,Fann Wong,2026-01-27,
2509,Fanny Ardant,2026-03-22,
2510,Fares Fares,2026-04-29,
2511,Farrah Fawcett,2026-02-02,2026-06-25
2512,Fatih Akin,2026-08-25,
2513,Fay Masterson,2026-04-15,
2514,Faye Dunaway,2026-01-14,
2515,Fede Alvarez,2026-02-09,
2516,Fedja van Huêt,2026-06-21,
2517,Fedor Bondarchuk,2026-05-09,
2518,Felicia Pearson,2026-05-18,
2519,Felicity Huffman,2026-12-09,
2520,Felix Avitia,2026-10-03,
2521,Félix Moati,2026-08-04,
2522,Fenella Woolgar,2026-08-04,
2523,Fenton Bailey,,
2524,Ferdinando Vetere,,
2525,Fereshteh Sadre Orafaiy,,
2526,Fergie,2026-03-27,
2527,Fernanda Andrade,,
2528,Fernanda Machado,2026-10-10,
2529,Fernanda Montenegro,2026-10-16,
2530,Fernanda Torres,2026-09-14,
2531,Fernando Baez Mella,,
2532,Fernando Cayo,2026-04-22,
2533,Fernando León de Aranoa,2026-05-26,
2534,Fernando Meirelles,2026-11-09,
2535,Fernando Rey,2026-09-20,2026-03-09
2536,Feroz Abbas Khan,,
2537,Ferzan Ozpetek,2026-02-03,
2538,Filippo Timi,2026-02-27,
2539,Fina Torres,2026-04-25,
2540,Finlay Currie,1878-01-20,2026-05-09
2541,Finn Ireland,,
2542,Finn Taylor,2026-07-04,
2543,Finn Wittrock,2026-10-28,
2544,Finola Hughes,2026-10-29,
2545,Fiona Dourif,2026-10-30,
2546,Fiona Glascott,2026-11-22,
2547,Fiona Shaw,2026-07-10,
2548,Fionnula Flanagan,2026-12-10,
2549,Firass Dirani,2026-04-29,
2550,Fisher Stevens,2026-11-27,
2551,Flaco Navaja,,
2552,Flavio Parenti,,
2553,Flea,2026-10-16,
2554,Flint Beverage,,
2555,Florence Ayisi,,
2556,Florence Henderson,2026-02-14,2026-11-24
2557,Florent-Emilio Siri,2026-03-02,
2558,Floria Sigismondi,,
2559,Florian Henckel von Donnersmarck,2026-05-02,
2560,Florian Lukas,2026-03-16,
2561,Floyd Mutrux,2026-06-25,
2562,Forest Whitaker,2026-07-15,
2563,Forrest Tucker,2026-02-12,2026-10-25
2564,Fran Drescher,2026-09-30,
2565,Fran Kranz,2026-07-13,
2566,Frances Bavier,2026-12-14,2026-12-06
2567,Frances Bay,2026-01-23,2026-09-15
2568,Frances Conroy,2026-11-13,
2569,Frances Fisher,2026-10-21,2026-12-27
2570,Frances Lee McCain,2026-07-28,
2571,Frances O'Connor,2026-06-12,
2572,Francesc Pagès,,
2573,Francesca Capaldi,,
2574,Francesca Gregorini,2026-08-07,
2575,Francesca Rettondini,2026-03-07,
2576,Francine Blake,,
2577,Francis Capra,2026-04-27,
2578,Francis Ford Coppola,2026-04-07,
2579,Francis Lawrence,2026-11-07,
2580,Francis Lederer,1899-11-06,2026-05-25
2581,Franck Khalfoun,,
2582,Franco Nero,2026-11-23,
2583,Franco Zeffirelli,2026-02-12,
2584,Fran?ois Bégaudeau,,
2585,Fran?ois Berléand,2026-04-22,
2586,Fran?ois Chau,2026-10-26,
2587,Fran?ois Cluzet,2026-09-21,
2588,Fran?ois Damiens,2026-01-17,
2589,Fran?ois Girard,2026-01-12,
2590,Fran?ois Ozon,2026-11-15,
2591,Fran?ois Truffaut,2026-02-06,2026-10-21
2592,Fran?oise Yip,2026-09-04,
2593,Frank Borzage,1894-04-23,2026-06-19
2594,Frank Capra,1897-05-18,2026-09-03
2595,Frank Coraci,2026-02-03,
2596,Frank Darabont,2026-01-28,
2597,Frank Dillane,2026-04-21,
2598,Frank Faylen,2026-12-08,2026-08-02
2599,Frank Finlay,2026-08-06,2026-01-30
2600,Frank Gerrish,2026-03-14,
2601,Frank Grillo,2026-06-08,
2602,Frank Hvam,2026-09-12,
2603,Frank LaLoggia,2026-01-12,
2604,Frank Langella,2026-01-01,
2605,Frank Lotito,,
2606,Frank Marshall,2026-09-13,
2607,Frank McHugh,1898-05-23,2026-09-11
2608,Frank Miller,2026-01-27,
2609,Frank Nissen,,
2610,Frank Oz,2026-05-25,
2611,Frank Perry,2026-08-21,2026-08-29
2612,Frank Rautenbach,2026-05-12,
2613,Frank Sebastiano,,
2614,Frank Vincent,2026-08-04,
2615,Frank Welker,2026-03-12,
2616,Frank Whaley,2026-07-20,
2617,Frankie Muniz,2026-12-05,
2618,Frankie Valli,2026-05-03,
2619,Franklin J. Schaffner,2026-05-30,2026-07-02
2620,Franky G,2026-10-30,
2621,Fred Armisen,2026-12-04,
2622,Fred Dekker,2026-04-09,
2623,Fred Durst,2026-08-20,
2624,Fred Gwynne,2026-07-10,2026-07-02
2625,Fred MacMurray,2026-08-30,2026-11-05
2626,Fred Malatesta,1889-04-18,2026-04-08
2627,Fred Melamed,2026-05-13,
2628,Fred Rogers,2026-03-20,2026-02-27
2629,Fred Savage,2026-07-09,
2630,Fred Schepisi,2026-12-26,
2631,Fred Tatasciore,,
2632,Fred Walton,,
2633,Fred Ward,2026-12-30,
2634,Fred Willard,2026-09-18,
2635,Fred Williamson,2026-03-05,
2636,Fred Wolf,2026-09-13,
2637,Fred Zinnemann,2026-04-29,2026-03-14
2638,Freddie Jones,2026-09-12,
2639,Freddy Rodríguez,2026-01-17,
2640,Frédéric Auburtin,2026-06-04,
2641,Frédéric Forestier,,
2642,Frederic Forrest,2026-12-23,
2643,Frederick Weller,2026-06-24,
2644,Frederik Du Chau,2026-05-15,
2645,Fredro Starr,2026-04-18,
2646,French Stewart,2026-02-20,
2647,Frida Hallgren,2026-12-16,
2648,Fritz Kortner,1892-05-12,2026-07-22
2649,Fritz Lang,1890-12-05,2026-08-02
2650,G.J. Echternkamp,,
2651,G.W. Bailey,2026-08-27,
2652,G.W. Krauss,,
2653,Gabe Ibá?ez,2026-06-07,
2654,Gabor Csupo,2026-09-29,
2655,Gabourey Sidibe,2026-05-06,
2656,Gabriel Almirón,,
2657,Gabriel Bateman,,
2658,Gabriel Beristain,2026-05-09,
2659,Gabriel Damon,2026-04-23,
2660,Gabriel Hogan,,
2661,Gabriel Iglesias,2026-07-15,
2662,Gabriel Millman,2026-02-07,
2663,Gabriel Reyes,,
2664,Gabriel Thomson,2026-10-27,
2665,Gabriela Castillo,,
2666,Gabriela Tagliavini,2026-12-29,
2667,Gabriele Muccino,2026-05-20,
2668,Gabrielle Carteris,2026-01-02,
2669,Gabrielle Reece,2026-01-06,
2670,Gaby Hoffmann,2026-01-08,
2671,Gael Le Cornec,,
2672,Gage Golightly,2026-09-05,
2673,Gaia Weiss,2026-08-30,
2674,Gale Sondergaard,1899-02-15,2026-08-14
2675,Gano Grills,,
2676,Garba Touré,,
2677,Garcelle Beauvais,2026-11-26,
2678,Gareth Edwards,,
2679,Gareth Evans,,
2680,Garrett Clayton,,
2681,Garrett M. Brown,2026-11-07,
2682,Garrett Morris,2026-02-01,
2683,Garrett Ryan,,
2684,Garrick Hagon,2026-09-27,
2685,Garry Cooper,2026-05-07,2026-05-13
2686,Garry Marshall,2026-11-13,2026-07-19
2687,Garry Shandling,2026-11-29,2026-03-24
2688,Garth Jennings,,
2689,Garvin Cross,,
2690,Gary Chapman,,
2691,Gary Cole,2026-09-20,
2692,Gary Coleman,2026-02-08,2026-05-28
2693,Gary Cooper,2026-05-07,2026-05-13
2694,Gary Daniels,2026-05-09,
2695,Gary David Goldberg,2026-06-25,2026-06-22
2696,Gary Dourdan,2026-12-11,
2697,Gary Farmer,2026-06-12,
2698,Gary Fleder,2026-12-19,
2699,Gary Halvorson,,
2700,Gary Hardwick,,
2701,Gary Lewis,,
2702,Gary Lockwood,2026-02-21,
2703,Gary McDonald,,
2704,Gary McKendry,,
2705,Gary Nelson,2026-12-20,
2706,Gary Oldman,2026-03-21,
2707,Gary Rogers,,
2708,Gary Ross,2026-11-03,
2709,Gary Schwartz,,
2710,Gary Sherman,,
2711,Gary Shore,,
2712,Gary Sinyor,,
2713,Gary Stretch,2026-11-04,
